city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128376,98842,G,brotli5,262144,17531,12891,20.33542781785742
madrid,18,128376,98842,B,gzip6,262144,3021,3781,69.33192277175351
madrid,18,128376,98842,B,zstd3,262144,3126,3382,77.51153163808398
madrid,18,128376,98842,B,brotli5,262144,2021,2769,94.67100036114121
madrid,18,128376,98842,C0,gzip6,262144,4976,3042,86.17488494411572
madrid,18,128376,98842,C0,zstd3,262144,4782,2982,87.90878604963112
madrid,18,128376,98842,C0,brotli5,262144,3841,2387,109.82153330540427
madrid,18,128376,98842,C1,gzip6,262144,5598,3037,86.31675996048732
madrid,18,128376,98842,C1,zstd3,262144,5234,2948,88.92265943012211
madrid,18,128376,98842,C1,brotli5,262144,4172,2387,109.82153330540427
madrid,18,128376,98842,flags,gzip6,262144,2881,3475,75.43712230215827
madrid,18,128376,98842,flags,zstd3,262144,3252,4016,65.27490039840637
madrid,18,128376,98842,flags,brotli5,262144,1427,2104,124.59315589353612
madrid,18,128376,98842,provenance,gzip6,262144,3352,4110,63.781995133819954
madrid,18,128376,98842,provenance,zstd3,262144,3115,4081,64.23523646165155
madrid,18,128376,98842,provenance,brotli5,262144,1972,2867,91.43494942448552
madrid,18,128372,98843,G,gzip6,262144,17554,11250,23.30168888888889
madrid,18,128372,98843,G,zstd3,262144,24866,15775,16.61768621236133
madrid,18,128372,98843,G,brotli5,262144,15674,11966,21.907404312217952
madrid,18,128372,98843,B,gzip6,262144,2354,2677,97.92454239820695
madrid,18,128372,98843,B,zstd3,262144,2377,2585,101.40967117988394
madrid,18,128372,98843,B,brotli5,262144,1552,1935,135.47493540051678
madrid,18,128372,98843,C0,gzip6,262144,1774,1370,191.34598540145984
madrid,18,128372,98843,C0,zstd3,262144,1510,1111,235.95319531953194
madrid,18,128372,98843,C0,brotli5,262144,1135,883,296.8788221970555
madrid,18,128372,98843,C1,gzip6,262144,1821,1351,194.03700962250184
madrid,18,128372,98843,C1,zstd3,262144,1550,1054,248.7134724857685
madrid,18,128372,98843,C1,brotli5,262144,1174,868,302.00921658986175
madrid,18,128372,98843,flags,gzip6,262144,2653,3098,84.61717236927049
madrid,18,128372,98843,flags,zstd3,262144,2624,3117,84.1013795316009
madrid,18,128372,98843,flags,brotli5,262144,1475,1994,131.46639919759278
madrid,18,128372,98843,provenance,gzip6,262144,2599,2981,87.93827574639383
madrid,18,128372,98843,provenance,zstd3,262144,2039,2687,97.56010420543357
madrid,18,128372,98843,provenance,brotli5,262144,1521,2039,128.5649828347229
madrid,18,128373,98843,G,gzip6,262144,16828,12403,21.135531726195275
madrid,18,128373,98843,G,zstd3,262144,24779,17139,15.295174747651554
madrid,18,128373,98843,G,brotli5,262144,15663,13123,19.97592014021184
madrid,18,128373,98843,B,gzip6,262144,2488,2600,100.82461538461538
madrid,18,128373,98843,B,zstd3,262144,1941,2132,122.95684803001876
madrid,18,128373,98843,B,brotli5,262144,1359,1626,161.22017220172202
madrid,18,128373,98843,C0,gzip6,262144,996,850,308.4047058823529
madrid,18,128373,98843,C0,zstd3,262144,813,636,412.17610062893084
madrid,18,128373,98843,C0,brotli5,262144,630,510,514.0078431372549
madrid,18,128373,98843,C1,gzip6,262144,1031,833,314.6986794717887
madrid,18,128373,98843,C1,zstd3,262144,794,576,455.1111111111111
madrid,18,128373,98843,C1,brotli5,262144,630,490,534.9877551020409
madrid,18,128373,98843,flags,gzip6,262144,2126,2724,96.23494860499265
madrid,18,128373,98843,flags,zstd3,262144,1773,2505,104.64830339321357
madrid,18,128373,98843,flags,brotli5,262144,1048,1546,169.5627425614489
madrid,18,128373,98843,provenance,gzip6,262144,2559,2656,98.6987951807229
madrid,18,128373,98843,provenance,zstd3,262144,1614,2269,115.53283384750992
madrid,18,128373,98843,provenance,brotli5,262144,1333,1602,163.6354556803995
madrid,18,128374,98843,G,gzip6,262144,25159,13058,20.07535610353806
madrid,18,128374,98843,G,zstd3,262144,33371,19570,13.395196729688298
madrid,18,128374,98843,G,brotli5,262144,22174,14860,17.640915208613727
madrid,18,128374,98843,B,gzip6,262144,3693,4609,56.876545888479065
madrid,18,128374,98843,B,zstd3,262144,3873,4640,56.49655172413793
madrid,18,128374,98843,B,brotli5,262144,3100,3662,71.58492626979792
madrid,18,128374,98843,C0,gzip6,262144,1243,1154,227.16117850953205
